"trial_num","choice1","choice2","state","pos1","pos2","rts1","rts2","money","stim1.ons.sl","stim1.ons.ms","stim2.ons.sl","stim2.ons.ms","choice1.ons.sl","choice1.ons.ms","choice2.ons.sl","choice2.ons.ms","rew.ons.sl","rew.ons.ms","id"
11,0,0,0,1,0,0,0,0,95180.8631520867,95180.8515819907,0,0,0,0,0,0,0,0,"00829"
12,1,2,2,0,1,0.567051615333185,1.46759998287598,1,104691.731773853,104691.723058969,108693.320126548,108693.309216455,105274.348944783,105274.342119917,110170.221141756,110170.2132117,112699.794068336,112699.785708264,"00829"
13,2,1,3,1,1,0.742714673790033,0.82738907118619,1,114203.664939299,114203.655559227,118205.240421906,118205.230421826,114961.887525082,114961.880045027,119043.021969363,119043.012829289,122211.717618927,122211.708108857,"00829"
14,1,2,2,1,0,0.543120682239532,0.45919889085053,1,123715.529389426,123715.520499349,127717.040131509,127717.030026227,124274.110462874,124274.103332818,128185.610720083,128185.603434816,131718.440787509,131718.429942623,"00829"
15,2,1,3,1,1,0.806776841491228,2.38742286665365,1,133227.333058655,133227.323493779,137228.792900324,137228.783215448,134049.631212234,134049.624046981,139625.580379829,139625.573094577,141230.131236225,141230.122230962,"00829"
16,1,2,2,0,0,0.567090173994075,1.78717168944422,1,142739.175703391,142739.166083321,146740.679915428,146740.669720545,143321.775334194,143321.768514141,148537.27509819,148537.267903328,150742.022381365,150742.013651296,"00829"
17,1,1,3,1,1,1.1987580806308,1.02914850045636,0,152251.476471797,152251.465716913,156252.997249171,156252.986579075,153465.292737529,153465.285447478,157291.058228463,157291.051133603,160254.290499508,160254.281419441,"00829"
18,2,1,3,0,0,0.798825603080331,0.795597918899148,0,161762.860792875,161762.850868002,165764.456280828,165764.414135307,162577.199012771,162577.19209753,166569.287104294,166569.279174224,169765.722045764,169765.71264568,"00829"
19,1,2,2,0,0,0.60708713385975,0.746706261954387,0,171274.700237587,171274.690867513,175290.069850549,175290.059750468,171897.289243504,171897.282303452,176048.964886904,176048.957211643,179291.440286711,179291.429566622,"00829"
20,1,1,2,0,0,0.750182188741746,0.794901657514856,0,180803.259596065,180803.250275999,184804.78266345,184804.772053361,181568.96013166,181568.953136817,185608.988377094,185608.981051832,188806.566542521,188806.556312427,"00829"
21,2,2,2,0,1,0.790158753734431,0.81875520896574,0,190315.122200966,190315.112616092,194316.613622889,194316.602808014,191120.788116291,191120.78079623,195144.699192792,195144.69149752,198323.177485421,198323.167900532,"00829"
22,1,1,2,0,1,1.05441354258801,0.81868887260498,1,199826.984841064,199826.975590989,203828.648714364,203828.638654292,200896.865460113,200896.858414859,204656.482937053,204656.475551799,207835.06180048,207835.053090408,"00829"
23,1,1,2,0,0,1.7255904719932,0.908286378631601,1,209339.892809123,209339.882304251,213341.487297088,213341.477816999,211080.327242613,211080.319282547,214258.651199192,214258.640479118,217342.836927876,217342.819747746,"00829"
24,2,1,3,0,0,1.94211383417132,2.19470897557039,0,218850.78695628,218850.778721407,222852.328058615,222852.317933723,220808.286536276,220808.279116228,225056.175274596,225056.168104529,226853.661099285,226853.643844336,"00829"
25,1,2,3,1,0,1.16636566820671,0.786972514077206,0,228362.547000363,228362.538625494,232364.099427983,232364.089722708,229544.365120113,229544.35836485,233160.276467398,233160.269452155,236365.462088898,236365.452873617,"00829"
26,1,1,2,0,0,1.49417202065524,0.722853165934794,1,237874.364954904,237874.356280044,241875.96571292,241875.955077618,239384.007247239,239383.999847189,242607.997173965,242607.990369111,245877.299863592,245877.251607999,"00829"
27,1,2,2,1,1,1.56609506082896,0.898833428553189,1,247386.235455066,247386.227595016,251387.949588791,251387.939073503,248967.793057531,248967.785677478,252295.835591868,252295.827946618,255389.309674472,255389.260359272,"00829"
28,1,2,2,1,0,0.782462313829456,0.860388479501125,1,256899.014702097,256899.002392009,260900.560204476,260900.550214395,257695.981087834,257695.974217772,261769.314489692,261769.305324435,264902.000611186,264901.991225913,"00829"
29,2,1,3,0,1,1.102443236814,2.12241284821357,0,266409.885919079,266409.876869008,270411.863574892,270411.853960022,267527.803277612,267527.796332359,272543.200115591,272543.192440718,274417.861612886,274417.813092485,"00829"
30,1,2,2,1,1,1.21406158976606,0.738985664982465,1,275921.731963843,275921.72360377,279923.289756313,279923.279286221,277151.296130359,277151.288435489,280671.509332061,280671.502592012,283924.623456985,283924.577186599,"00829"
31,1,2,2,1,0,0.45549520602799,1.09899471669632,0,285433.684584662,285433.676014587,289435.325812593,289435.3154625,285904.661232486,285904.652007207,290543.354772031,290543.347946763,293436.722648963,293436.670013353,"00829"
32,1,0,3,1,1,1.79803062672727,0,0,294946.199049577,294946.190829515,298947.796492368,298947.78621228,296758.980097026,296758.972216979,0,0,0,0,"00829"
33,1,2,2,1,0,1.18240696653083,0.418392604406108,1,304462.140207112,304462.130592227,308463.778125405,308463.766780123,305655.162811294,305655.155966431,308903.159585267,308903.152845204,312465.292332321,312465.277312204,"00829"
34,1,1,2,0,1,1.84643591458735,1.11481323844055,1,313969.140528321,313969.13143304,317971.417521328,317971.407486454,315831.01627332,315831.009413272,319094.719807744,319094.711902872,321972.834582672,321972.782437444,"00829"
35,2,2,3,0,0,1.08646029375086,0.938416360426345,0,323480.886407077,323480.877797008,327482.537665486,327482.527090207,324582.877043009,324582.870362952,328430.477393806,328430.469843745,331484.06317769,331484.054247618,"00829"
36,2,2,3,1,1,2.27832349487289,0.588233176444191,0,332993.004844025,332992.994183943,336994.786263481,336994.776098192,335286.606312841,335286.598542765,337591.907330453,337591.898090377,340996.151304409,340996.103258803,"00829"
37,1,2,2,1,1,0.456095281871967,0.610914795222925,0,342505.51653412,342505.505409226,346507.177407414,346507.166752532,342976.368886128,342976.359286055,347126.345770761,347126.339060694,350512.745061949,350512.733951852,"00829"
